Set,CardID,Name,Identifier,Color,Type,Attribute,Ability,Cost,Vibe,Rarity,FeaturingPudgy,IllusName,imageURL
Eth,17,Run-It-Back Penguin,RunItBackPenguin,Red,Character,Penguin,"[ACT] _F_: Pick a Red Action card in your ice
and return it to your hand. Ice this Character.",4,6,Common,4236,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RunItBackPenguin.png
Eth,18,Screaming Penguin,ScreamingPenguin,Red,Character,Penguin,"Whenever you play an Action,
boost this Character's vibe by 2
for the rest of this Cycle.",5,6,Uncommon,68,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ScreamingPenguin.png
Eth,19,Serene Penguin,SerenePenguin,Red,Character,Penguin,"Whenever your opponent plays an Action,
flop this Character.",4,10,Common,6485,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SerenePenguin.png
Eth,20,Striking Swordsman Penguin,StrikingSwordsmanPenguin,Red,Character,Swordsman Penguin,[ACT] _F_: This Character can't be iced this Cycle.,3,4,Rare,3743,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/StrikingSwordsmanPenguin.png
Eth,21,A Drop in Attention,ADropinAttention,Red,Action,EMPTY,"You can only play this Action if it's the fourth
Action you've played this Cycle.
Ice all Characters.",R,EMPTY,Rare,4338,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ADropinAttention.png
Eth,22,"Again, Again",AgainAgain,Red,Action,EMPTY,"The next time you play an Action
with Pudge cost _R__R_ this Cycle, copy that Action.
(You make new choices for the copy).",R,EMPTY,Uncommon,986,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/AgainAgain.png
Eth,23,Bearish Sentiment,BearishSentiment,Red,Action,EMPTY,"Choose a Character.
It loses all abilities for the rest of this Cycle.
Draw a card.",RR,EMPTY,Common,"4311, 995",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BearishSentiment.png
Eth,24,Best Seats in the House,BestSeatsintheHouse,Red,Action,EMPTY,"If you have no cards in hand, draw two cards.",RR,EMPTY,Common,"5650, 3466",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BestSeatsintheHouse.png
Eth,25,Grow Together,GrowTogether,Red,Action,EMPTY,"Each player may choose a Character.
Put a vibe counter on each of those Characters.
Draw a card.",RR,EMPTY,Common,"5655, 6877",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/GrowTogether.png
Eth,26,Have an Encore,HaveanEncore,Red,Action,EMPTY,"You can only play this Action
if you've played another Red Action this Cycle.
Choose up to two Red Characters in your huddle
and unflop those Characters. Draw a card.",R,EMPTY,Common,4767,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/HaveanEncore.png
Eth,27,"Heads I Win, Tails You Lose",HeadsIWinTailsYouLose,Red,Action,EMPTY,"Choose a player and flip a coin. If heads,
you draw a card. If tails, the chosen player
ices a card from their hand.",R,EMPTY,Common,6148,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/HeadsIWinTailsYouLose.png
Eth,28,Hit the High Note,HittheHighNote,Red,Action,EMPTY,"Choose a Relic and return it to its owner's hand.
Draw a card.",R,EMPTY,Uncommon,8452,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/HittheHighNote.png
Eth,29,Not a Rod Anymore!,NotaRodAnymore,Red,Action,Saucy,"You can only play this Action if it's face-down
as a Rod. Flip this card over to play it.
Choose a Character and boost its vibe
by 2 for the rest of this Cycle.",0,EMPTY,Rare,4666,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/NotaRodAnymore.png
Eth,30,Put on a Show,PutonaShow,Red,Action,EMPTY,"Choose a Character with vibe 10 or greater.
Ice that Character.",RRR,EMPTY,Uncommon,"2445, 4287, 1721",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PutonaShow.png
Eth,31,Stand in the Rain,StandintheRain,Red,Action,EMPTY,Unflop all Characters. Draw a card.,RRR,EMPTY,Rare,"5865, 4745, 8316",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/StandintheRain.png
Eth,32,Sunburn a Penguin,SunburnaPenguin,Red,Action,EMPTY,"Choose a Character with vibe
4 or less. Ice that Character.",RR,EMPTY,Uncommon,"1612, 3746",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SunburnaPenguin.png
Eth,33,Trust Fall,TrustFall,Red,Action,EMPTY,"Choose a Character.
Reduce its vibe by 2 for the rest of this Cycle.
If that Character has 0 vibe, it can't be iced this Cycle.
Draw a card.",RR,EMPTY,Common,"4003, 1691",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/TrustFall.png
Eth,34,Use Whoopee Cushion,UseWhoopeeCushion,Red,Action,EMPTY,"Choose a Character with vibe 10 or greater.
Reduce its vibe by 4 for the rest of this Cycle.
Draw a card.",RR,EMPTY,Common,"6834, 1704",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/UseWhoopeeCushion.png
Eth,35,Dashing Swordsman Penguin,DashingSwordsmanPenguin,Yellow,Character,Swordsman Penguin,"At the start of Action Time, if you don't have
the Baron, boost this Character's vibe by 4
for the rest of this Cycle.",3,4,Rare,3584,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/DashingSwordsmanPenguin.png
Eth,36,Daydreaming Penguin,DaydreamingPenguin,Yellow,Character,Penguin,"[ACT] _F_: Choose a Character with vibe 2 or less.
Ice that Character and ice this Character.",2,2,Uncommon,3579,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/DaydreamingPenguin.png
Eth,37,Extrovert Penguin,ExtrovertPenguin,Yellow,Character,Penguin,"Whenever another Character enters your huddle,
put 2 vibe counters on this Character.",4,2,Common,513,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ExtrovertPenguin.png
Eth,38,Flying Penguin,FlyingPenguin,Yellow,Character,Penguin,,1,2,Common,5210,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/FlyingPenguin.png
Eth,39,Hyper Penguin,HyperPenguin,Yellow,Character,Penguin,"Whenever a Character in your huddle wins
Vibe Check, reveal the top card of your deck.
If it's a Yellow Character card, put it into your hand.
If you do, ice a card from your hand.",3,4,Common,5082,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/HyperPenguin.png
Eth,40,Jubilant Penguin,JubilantPenguin,Yellow,Character,Penguin,"Whenever a Character in your huddle
wins Vibe Check, draw a card.",7,4,Rare,1803,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/JubilantPenguin.png
Eth,41,Lucky Penguin,LuckyPenguin,Yellow,Character,Penguin,"When this Character is put in your ice from play,
you may pick a Yellow Character card in your ice
with vibe 2 or less and put it into your huddle.",3,4,Common,850,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/LuckyPenguin.png
Eth,42,Mysterious Penguin,MysteriousPenguin,Yellow,Character,Penguin,"When this Character enters the huddle,
if there are four or more Yellow Characters
in your huddle including this one,
choose a Character and flop it.",3,4,Common,6848,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/MysteriousPenguin.png
Eth,43,"Napengulon, Legendary Host",NapengulonLegendaryHost,Yellow,Character,Penguin,"At the start of Action Time,
put vibe counters on this Character equal to
the number of Yellow Characters in your huddle.",10,12,Mythic,5670,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/NapengulonLegendaryHost.png
Eth,44,Paper Penguin,PaperPenguin,Yellow,Character,Paper Penguin,"Whenever another Rock, Paper, or Scissors Penguin
enters a huddle, put a vibe counter on this Character.
Rock Penguins do not participate in Vibe Check.",2,2,Common,3400,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PaperPenguin.png
Eth,45,Penguin of the Falling Leaves,PenguinoftheFallingLeaves,Yellow,Character,Penguin,,2,4,Common,1016,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinoftheFallingLeaves.png
Eth,46,Penguin That Doesn't Mind Goodbyes,PenguinThatDoesntMindGoodbyes,Yellow,Character,Penguin,"Whenever another Yellow Character
in your huddle is iced, draw a card.",6,6,Common,1278,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinThatDoesntMindGoodbyes.png
Eth,47,Penguin Who Might Bring a Plus One,PenguinWhoMightBringaPlusOne,Yellow,Character,Penguin,"When this Character enters the huddle,
reveal the top card of your deck. If it's
a Character card with Fish cost 2 or less,
draw it. If not, put it on the bottom
of your deck.",2,2,Rare,4530,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoMightBringaPlusOne.png
Eth,48,Penguin Who Spills the Tea,PenguinWhoSpillstheTea,Yellow,Character,Penguin,"[ACT] _F_: Pick a Yellow Character card in your ice
with vibe 4 or less. Return it to your hand
and return this Character to its owner's hand.",7,2,Common,8070,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoSpillstheTea.png
Eth,49,Penguin Who Zooms,PenguinWhoZooms,Yellow,Character,Speedy Penguin,"As an additional cost to play this Character,
return a non-Speedy Character from your huddle
to its owner's hand.",1,3,Uncommon,6854,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoZooms.png
Eth,50,Penguin Who's Late to the Party,PenguinWhosLatetotheParty,Yellow,Character,Penguin,"When this Character enters the huddle,
if your huddle has at least three more Characters
than your opponent's huddle including this Character,
it enters with 6 vibe counters.",2,2,Common,3895,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhosLatetotheParty.png
Eth,51,Shocking Penguin,ShockingPenguin,Yellow,Character,Penguin,"When this Character enters the huddle,
return each other Character in your huddle
to its owner's hand.",6,10,Uncommon,2137,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ShockingPenguin.png
Eth,52,Pot-Stirring Penguin,PotStirringPenguin,Yellow,Character,Penguin,"As long as your huddle has three or more Characters,
including this one, this Character can produce _Y__Y_.",2,2,Common,192,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PotStirringPenguin.png
Eth,53,Rock Penguin,RockPenguin,Yellow,Character,Rock Penguin,"Whenever another Rock, Paper, or Scissors Penguin
enters a huddle, put a vibe counter on this Character.
Scissors Penguins do not participate in Vibe Check.",2,2,Common,5242,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RockPenguin.png
Eth,54,Scissors Penguin,ScissorsPenguin,Yellow,Character,Scissors Penguin,"Whenever another Rock, Paper, or Scissors Penguin
enters a huddle, put a vibe counter on this Character.
Paper Penguins do not participate in Vibe Check.",2,2,Common,5347,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ScissorsPenguin.png
Eth,55,Shapenguzad,Shapenguzad,Yellow,Character,Penguin,"Enters flopped. This Character enters the huddle with vibe counters equal to the number of vibe counters on all Characters in your huddle. When this Character enters the huddle, remove all vibe counters from all other Characters in your huddle.",7,0,Rare,2484,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/Shapenguzad.png
Eth,56,"Pleepem, Who Stands Alone",PleepemWhoStandsAlone,Yellow,Character,Penguin,"When this Character enters the huddle,
put 2 vibe counters on it for each other
Yellow Character in your huddle.",8,4,Rare,6438,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PleepemWhoStandsAlone.png
Eth,57,Shy Penguin,ShyPenguin,Yellow,Character,Penguin,"You can only play this Character
if you've played another Character this turn.",4,10,Common,6218,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ShyPenguin.png
Eth,58,Yellow Mega Penguin,YellowMegaPenguin,Yellow,Character,Mega Penguin,"As an additional cost to play this Character,
ice a Character in your huddle. When this Character
enters the huddle, reveal the top card of your deck.
If it's a Yellow Character card, put it into your huddle.",5,6,Mythic,534,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/YellowMegaPenguin.png
Eth,59,Yellow Wizard Penguin,YellowWizardPenguin,Yellow,Character,Wizard Penguin,Enters flopped.,2,2,Uncommon,4806,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/YellowWizardPenguin.png
Eth,60,Buddy Up,BuddyUp,Yellow,Action,EMPTY,"For the rest of this Cycle,
Yellow Characters in your huddle gain the ability
""[ACT] _F_: Choose a Character and flop it"".",YY,EMPTY,Common,"837, 3654",Clare Altman,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BuddyUp.png
Eth,61,Check the Yellow Pages,ChecktheYellowPages,Yellow,Action,EMPTY,"Reveal the top three cards of your deck.
Put all the Yellow Character cards you reveal
into your hand. Put the rest on the bottom
of your deck in any order.",YYY,EMPTY,Uncommon,"652, 7264, 1797",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ChecktheYellowPages.png
Eth,62,Put Your Flippers in the Air,PutYourFlippersintheAir,Yellow,Action,EMPTY,"Choose a Character.
Boost its vibe by twice the number of
Yellow Characters in your huddle
for the rest of this Cycle.",YYYY,EMPTY,Uncommon,"2707, 7692, 7227, 8513",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PutYourFlippersintheAir.png
Eth,63,Join the Trend,JointheTrend,Yellow,Action,EMPTY,"Choose a Character in your huddle and ice it.
Turn the top card of your deck into a Rod.
Return this Action to your hand.",YYYY,EMPTY,Common,"7799, 1424, 472, 1374",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/JointheTrend.png
Eth,64,Not Your Keys,NotYourKeys,Yellow,Action,EMPTY,Choose a Character and ice it.,YYYY,EMPTY,Uncommon,"1946, 1696, 5918, 4349",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/NotYourKeys.png
Eth,65,Prepare for a Wild Night,PrepareforaWildNight,Yellow,Action,EMPTY,"Reveal the top five cards of your deck.
Put all the Action cards you reveal into your hand.
 Put the rest on the bottom of your deck in any order.",YYY,EMPTY,Uncommon,"5590, 5137, 5761",Clare Altman,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PrepareforaWildNight.png
Eth,66,They're Twins,TheyreTwins,Yellow,Action,EMPTY,"Choose a Character in your huddle.
Search your deck for a Character card
with the same name and put it into your hand.
Shuffle your deck.",YY,EMPTY,Common,"8655, 4804",Clare Altman,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/TheyreTwins.png
Eth,67,What a Twist!,WhataTwist,Yellow,Action,Saucy,"You can only play this Action if it's face-down
as a Rod. Flip this card over to play it.
Choose a Character and unflop it.",0,EMPTY,Rare,2627,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/WhataTwist.png
Eth,68,Yum Yum,YumYum,Yellow,Action,EMPTY,Ice all Characters.,YYYYY,EMPTY,Rare,"5297, 3031, 2773, 1199, 461",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/YumYum.png
Eth,69,Balanced Penguin,BalancedPenguin,Green,Character,Penguin,"[ACT] _G__G_, _F_: You get a Fishsicle.
(A Fishsicle produces one _T_, then goes away).",4,4,Rare,2927,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BalancedPenguin.png
Eth,70,Blossoming Penguin,BlossomingPenguin,Green,Character,Penguin,,2,4,Common,6758,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BlossomingPenguin.png
Eth,71,Curious Penguin,CuriousPenguin,Green,Character,Penguin,,3,6,Common,6067,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/CuriousPenguin.png
Eth,72,Flower-Arranging Penguin,FlowerArrangingPenguin,Green,Character,Penguin,"Whenever a Character in your huddle wins Vibe Check,
put two vibe counters on that Character.",6,6,Common,2404,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/FlowerArrangingPenguin.png
Eth,73,Green Mega Penguin,GreenMegaPenguin,Green,Character,Mega Penguin,"As an additional cost to play this Character,
ice a Character in your huddle. This Character can't
be chosen by anything. At the start of Action Time,
put a vibe counter on this Character.",5,6,Mythic,184,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/GreenMegaPenguin.png
Eth,74,Green Wizard Penguin,GreenWizardPenguin,Green,Character,Wizard Penguin,Enters flopped.,2,2,Uncommon,1665,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/GreenWizardPenguin.png
Eth,75,Karate Penguin,KaratePenguin,Green,Character,Penguin,"As an additional cost to play this Character,
ice a card from your hand.",4,10,Common,3071,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/KaratePenguin.png
Eth,76,Peppy Penguin,PeppyPenguin,Green,Character,Penguin,"At the start of Action Time,
if this Character has vibe 6 or greater,
boost its vibe by 6 for the rest of this Cycle.",3,2,Common,1978,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PeppyPenguin.png
Eth,77,Ornate Swordsman Penguin,OrnateSwordsmanPenguin,Green,Character,Swordsman Penguin,"Whenever this Character wins Vibe Check,
each opponent chooses a Character in their huddle.
Ice those Characters.",3,2,Rare,4733,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/OrnateSwordsmanPenguin.png
Eth,78,Penguin in Color,PenguininColor,Green,Character,Penguin,"When this Character enters the huddle, you get a Fishsicle. (A Fishsicle produces one _T_, then goes away).",5,7,Common,1940,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguininColor.png
Eth,79,Penguin Who Is the Garden,PenguinWhoIstheGarden,Green,Character,Penguin,"Whenever this Character wins Vibe Check,
the loser of Vibe Check skips the next time
they would draw a card.",5,4,Common,7067,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoIstheGarden.png
Eth,80,Penguin Whose Garden Grows,PenguinWhoseGardenGrows,Green,Character,Penguin,"At the start of Action Time,
if another Character in your huddle is, or is tied with,
the Character in play that's vibing the most,
boost this Character's vibe by 6
for the rest of this Cycle.",2,2,Common,7237,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoseGardenGrows.png
Eth,81,Penguin With Great Mystique,PenguinWithGreatMystique,Green,Character,Penguin,"This Character doesn't participate in Vibe Check.
[ACT] _F_: Put 6 vibe counters on this Character.",6,6,Uncommon,2953,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWithGreatMystique.png
Eth,82,Koi Penguin,KoiPenguin,Green,Character,Penguin,"When this Character enters the huddle,
choose a Character with the highest vibe in your huddle
and put vibe counters on it until it's tied
for the highest vibe among all Characters.",5,4,Rare,7077,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/KoiPenguin.png
Eth,83,Pointsrich Penguin,PointsrichPenguin,Green,Character,Penguin,,6,10,Uncommon,2947,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PointsrichPenguin.png
Eth,84,Sir Vibesalot,SirVibesalot,Green,Character,Penguin,,10,20,Mythic,8278,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SirVibesalot.png
Eth,85,Romulus Who Roams,RomulusWhoRoams,Green,Character,Penguin,,7,12,Rare,8053,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RomulusWhoRoams.png
Eth,86,Sketching Penguin,SketchingPenguin,Green,Character,Penguin,"At the start of Action Time, choose a Character
and boost its vibe by 4 for the rest of this Cycle.
If you lose or tie Vibe Check, ice Sketching Penguin.",4,4,Uncommon,4433,James Zhang & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SketchingPenguin.png
Eth,87,Sliding Penguin,SlidingPenguin,Green,Character,Penguin,"At the start of Action Time, choose a Character
and boost its vibe by 2 for the rest of this Cycle.",4,4,Common,3174,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SlidingPenguin.png
Eth,88,Stargazing Penguin,StargazingPenguin,Green,Character,Penguin,"When this Character enters the huddle,
choose a Character with vibe 6 or less
and put a vibe counter on it.",2,2,Common,1824,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/StargazingPenguin.png
Eth,89,Success Penguin,SuccessPenguin,Green,Character,Penguin,"[ACT] _F_: Choose another Character in your huddle.
Boost that Character's vibe by 6 for the rest of this Cycle
and ice this Character.",3,4,Common,7824,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SuccessPenguin.png
Eth,90,Window-Washing Penguin,WindowWashingPenguin,Green,Character,Penguin,"When this Character enters the huddle,
choose a Character in your huddle
and put 4 vibe counters on it.",6,2,Common,346,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/WindowWashingPenguin.png
